DEPT,DATE,GPNO,CODE,PCODE,PARTICULAR,DRIVERNAME,VEHNO,MLC,VNO,TYPE,LOTNO,GQTY,BAGS,FILL,EXCESS,LESS,QTY,RATE,VALUE,FREIGHT,LCODE,LOCATION
H,2022-10-29,0,12,,NAKOO,,,01,1,H,0,,3,70.0,,,210,,,,2,PROCESS KHATA
H,2022-10-29,0,11,,ADWARH,,,01,1,H,0,,13,100.0,,,1300,,,,2,PROCESS KHATA
H,2022-10-29,0,9,,SHORT GRAIN,,,01,1,H,0,,3,100.0,,,300,,,,2,PROCESS KHATA
H,2022-10-29,0,8,,RICE 1,,,01,1,H,0,,14,100.0,,,1400,,,,2,PROCESS KHATA
H,2022-10-29,0,13,,SHERI WORLD,,,01,1,H,0,,1,100.0,,,100,,,,2,PROCESS KHATA
