CODE,MLNAME,UNIT,PRATE,RATE
1,POLY BARDANA,KG,41.0,0.0
2,JUTE BARDANA,KG,,0.0
3,PADDY 1509,KG,,0.0
4,PADDY SUPER FINE,KG,,0.0
5,PADDY KAINAT,KG,,0.0
